Timestamp,Event,EAR,Pitch,BlinkRate
2025-12-24 11:34:28,Eyes Closed,0.193,172.5,3
2025-12-24 11:34:51,Eyes Closed,0.150,-176.8,18
2025-12-24 11:35:12,High Blink Rate,0.264,-169.3,31
2025-12-24 11:35:17,High Blink Rate,0.292,-164.1,34
2025-12-24 11:35:18,High Blink Rate,0.300,-173.6,35
2025-12-24 11:35:19,High Blink Rate,0.279,-171.1,35
2025-12-24 11:35:21,High Blink Rate,0.242,-178.7,36
2025-12-24 11:35:21,High Blink Rate,0.210,-167.3,37
2025-12-24 11:35:23,High Blink Rate,0.290,-165.1,38
2025-12-24 11:35:23,High Blink Rate,0.268,-164.3,38
2025-12-24 11:35:25,High Blink Rate,0.319,-169.1,36
